type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
.NET,.net开发工程师[深圳湾],网新新思,15000,25000,经验5-10年,大专,IT技术服务｜咨询 / 上市公司 / 500-2000人,500-2000,科技金融/ASP.net/IT技术服务｜咨询,早九晚六，周末双休,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/39/C2/Cgp9HWB840uAeRpyAAAQ9hkTMfQ272.png,深圳
.NET,.net core研发工程师[宝安区],汇嘉信供应链,10000,15000,经验3-5年,大专,物流｜运输 / 不需要融资 / 500-2000人,500-2000,物流平台/计算机相关专业,高前景,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/4B/E5/CioPOWDmxJ-AFVG-AAAMZfEwrgo390.jpg,深圳
.NET,.net开发工程师[坪山],比亚迪,15000,25000,经验3-5年,本科,"制造业,新能源汽车制造 / 上市公司 / 2000人以上",2000,制造业/新能源汽车制造,团队气氛和谐,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/1B/CgYXBlTUWFqAYOXYAAB44O4Wb9o850.jpg,深圳
.NET,.net后端开发工程师[科技园],捷优易科技,12000,20000,经验3-5年,本科,"IT技术服务｜咨询,软件服务｜咨询,数据服务｜咨询 / 天使轮 / 15-50人",15-50,软件服务｜咨询/IT技术服务｜咨询,项目奖、每年一次体检、生日会,https://www.lgstatic.com/thumbnail_120x120/10/797707e87d8e4290b7d48fb3cc5d5df9.png,深圳
.NET,.net开发工程师[宝安区],灵清科技,4000,6000,经验不限,大专,软件服务｜咨询 / 未融资 / 少于15人,15,,根据能力定薪资,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,深圳
.NET,.net开发工程师[南山区],遍享信息,12000,20000,经验3-5年,大专,IT技术服务｜咨询 / 未融资 / 150-500人,150-500,软件服务｜咨询/IT技术服务｜咨询,薪资福利好，五险一金,https://www.lgstatic.com/thumbnail_120x120/image2/M00/08/E7/CgqLKVYExwOAafmPAAA-j6ovyVY209.jpg?cc=0.08260003104805946,深圳
.NET,.net开发工程师[宝安区],皇锐软件,5000,9000,经验不限,大专,"软件服务｜咨询,IT技术服务｜咨询,信息安全 / 不需要融资 / 15-50人",15-50,房地产｜建筑｜物业/Java/MySQL/数据库,看中能力,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/4D/7B/Cgp9HWDvBxKAbr3HAABqiE3W12M553.png,深圳
.NET,.net开发工程师[福田区],中源华盈,12000,16000,经验1-3年,大专,其他 / 未融资 / 少于15人,15,物联网,公司系统提供灵活晋升空间,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/29/68/Cgq2xlqcuu-AANO7AAAuGrtt7b8077.png,深圳
.NET,.net开发工程师[南山区],盈创科技,15000,20000,经验3-5年,大专,IT技术服务｜咨询 / 未融资 / 15-50人,15-50,软件服务｜咨询/人工智能服务,团队融洽、工作环境舒适,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/21/CgoB5lySAqOARSRIAAAYXqhfG2o563.png,深圳
.NET,.net工程师[坂田],深圳易可达科技有限公司,15000,25000,经验1-3年,本科,物流平台 / C轮 / 2000人以上,2000,物流｜运输,发展前景好，团队实力强,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/4D/C0/CgqCHl9bHLSASblsAAAicJCQ760737.png,深圳
